Photo,Ci,Trmmol,PARi,VPD,Ca,Press,RH,gs,Ta
5.530821593,379.4814032,2.613050595,999.7854816,1.473139455,450.0363159,100.5380885,41.37779999,0.178670857,20.4265976
5.736414098,378.7252453,2.704235076,1499.405477,1.49910429,450.0595296,100.5370077,41.68615977,0.176537189,20.44995181
5.540824677,378.3262412,2.483388756,1200.724121,1.491371511,449.9961955,100.5357437,41.18166987,0.16328361,20.43431155
5.409956104,376.9056946,2.296042093,1000.762512,1.478723933,449.9562073,100.5352758,40.84601974,0.153246574,20.39577166
5.284540692,375.7659029,2.123377052,800.8483073,1.459969908,450.065623,100.533844,40.53194173,0.145282539,20.35210546
4.977500695,375.7186601,1.939658493,500.5607401,1.439654616,449.9396668,100.5330403,40.21229299,0.136553541,20.28940455
4.415502106,379.1076608,1.789746661,300.0423482,1.430454799,449.9379374,100.5322749,39.9129537,0.127815063,20.25388082
2.344002281,404.1214913,1.60077493,100.225797,1.419210899,450.0704752,100.5286687,39.51182937,0.116519361,20.20859591
1.637987923,411.8714649,1.436953224,61.12209066,1.421953346,450.0287882,100.5261815,39.14291382,0.104482063,20.18701808
0.993178237,418.861112,1.230308271,39.11553447,1.435405989,449.9313151,100.5233637,38.61132939,0.088420132,20.18249639
-0.439857696,450.9501234,1.023992594,0.138843467,1.451270652,449.9960327,100.5210444,38.0770518,0.072291616,20.1889604
