Photo,Ci,Trmmol,VPD,PARi,Ca,Press,RH,gs,Ta
14.6142419,338.8056871,3.960223584,1.458094757,1499.50179,450.0539144,100.1369858,57.78480403,0.28625165,24.99321429
14.19610899,336.4153839,3.610651603,1.430378438,1133.658264,449.9818726,100.1347911,57.009758,0.264711079,24.97059186
13.61844058,332.6175751,3.25729337,1.415082464,934.1958213,449.9164836,100.1339111,56.21631876,0.239678539,24.94496091
12.62328909,329.6178182,2.875782711,1.403978127,700.2314555,449.9961344,100.1296031,55.32931391,0.211915535,24.91000557
10.88279394,328.515298,2.421545901,1.401888639,433.9259949,450.003479,100.1287053,54.2780393,0.177040725,24.86778132
7.365981937,344.8766524,1.903461924,1.410347086,233.6435013,449.9644572,100.1258138,53.08346049,0.136877083,24.83838463
3.620066371,369.6788002,1.256091942,1.436426465,86.83487954,449.8618368,100.1221364,51.51133347,0.087604436,24.8129495
2.013891202,370.2917051,0.71290655,1.484270614,53.75871913,449.9958191,100.1205597,50.15790049,0.047632362,24.79881287
0.679468838,401.0486173,0.501308591,1.504910268,26.81649931,449.9327393,100.1205038,49.53463236,0.032882564,24.80622673
-0.406162252,465.7145393,0.384121649,1.587478979,-0.002756685,450.0249939,100.1160304,49.79188792,0.043766353,24.86539459
